Package,Version,License(s)
github-com-invopop-yaml,v0.3.1,"(MIT License AND BSD 3-clause ""New"" or ""Revised"" License)"
aws-java-sdk-http-auth-event-stream,2.28.2,Apache License 2.0
github-com-go-viper-mapstructure,"2.2.1, 2.0.0",MIT License
opencensus-api,0.12.3,Apache License 2.0
scala-java8-compat,"0.8.0, 0.9.1, 1.0.0, 1.0.2","BSD 3-clause ""New"" or ""Revised"" License,Apache License 2.0"
packaging,17.1,"(BSD 2-clause ""Simplified"" License OR Apache License 2.0)"
aws-java-sdk-for-amazon-kinesis-analytics,"1.11.892, 1.12.124, 1.12.793, 1.12.770",Apache License 2.0
aws-java-sdk-for-aws-fault-injection-simulator,"1.12.793, 1.12.770, 1.12.124",Apache License 2.0
github-com-adalogics-go-fuzz-headers,20230811-snapshot-ced1acdc,Apache License 2.0
java-libraries-for-amazon-simple-workflow,1.11.22,Apache License 2.0
apache-velocity,2.3,Apache License 2.0
aws-java-sdk-for-amazon-connect-wisdom,"1.12.793, 1.12.770, 1.12.124",Apache License 2.0
errwrap,v1.1.0,Mozilla Public License 2.0
swaggo-gin-swagger,v1.6.0,MIT License
httplib-cachecontrol,0.11.7,Apache License 2.0
jackson-modules-java8,"2.16.2, 2.11.4, 2.13.4, 2.14.3, 2.10.1, 2.10.2, 2.10.5",Apache License 2.0
aws-java-sdk-for-aws-organizations,"1.12.770, 1.11.892, 1.12.124, 1.12.793",Apache License 2.0
xdg-go-stringprep,v1.0.4,Apache License 2.0
aws-java-sdk-for-amazon-bedrock-runtime,"1.12.770, 1.12.793",Apache License 2.0
aws-java-sdk-for-aws-x-ray,"1.11.892, 1.12.124, 1.12.793, 1.12.770",Apache License 2.0
aws-java-sdk-for-inspector-scan,"1.12.770, 1.12.793",Apache License 2.0
aws-java-sdk-for-amazon-cloudwatch-application-insights,"1.12.770, 1.12.124, 1.11.892, 1.12.793",Apache License 2.0
core,"1.4.0, 3.2.0, 0.13.0, 1.1.1, 2.3.3",Apache License 2.0
aws-java-sdk-for-the-aws-cloudhsm,"1.11.892, 1.12.124, 1.12.793, 1.12.770",Apache License 2.0
aws-java-sdk-for-aws-rds-data,"1.12.124, 1.11.892, 1.12.770, 1.12.793",Apache License 2.0
aws-java-sdk-for-aws-amplify,"1.12.124, 1.12.793, 1.12.770, 1.11.892",Apache License 2.0
dgryski-go-rendezvous,20200823-snapshot-9f7001d1,MIT License
spf13-cast,"v1.7.1, v1.6.0",MIT License
aws-java-sdk-for-aws-migration-hub-refactor-spaces,"1.12.124, 1.12.793, 1.12.770",Apache License 2.0
cenkalti-backoff,"v4.3.0, v1.1.0, v4.1.1",MIT License
client_golang,v1.20.5,Apache License 2.0
aws-java-sdk-core-protocols-json-utils,"2.28.2, 2.17.30",Apache License 2.0
aws-java-sdk-for-aws-elemental-mediastore-data-plane,"1.11.892, 1.12.793, 1.12.770, 1.12.124",Apache License 2.0
aws-java-sdk-for-aws-global-accelerator,"1.11.892, 1.12.793, 1.12.770, 1.12.124",Apache License 2.0
aws-java-sdk-for-amazon-cognito-identity-provider-service,"1.12.124, 1.11.892, 1.12.793, 1.12.770",Apache License 2.0
gson-on-fire-,1.8.5,Apache License 2.0
aws-java-sdk-for-aws-iot-1-click-devices,"1.12.793, 1.12.124, 1.11.892, 1.12.770",Apache License 2.0
akka-stream,"2.5.14, 2.6.16, 2.6.14, 2.5.12",Apache License 2.0
aws-java-sdk-for-aws-iot-events,"1.11.892, 1.12.770, 1.12.124, 1.12.793",Apache License 2.0
aws-java-sdk-for-aws-service-catalog-app-registry,"1.12.793, 1.12.770, 1.12.124",Apache License 2.0
akka-http,"10.2.7, 10.2.6, 10.1.3, 10.1.7",Apache License 2.0
aws-java-sdk-for-aws-glue,"1.12.770, 1.12.793, 1.12.124, 1.11.892",Apache License 2.0
github-com-josharian-native,b6b71def0850a2fbd7e6875f8e28217a48c5bcb4,MIT License
golang-org-x-sys,"v0.29.0, 0.21.0","BSD 3-clause ""New"" or ""Revised"" License"
aws-java-sdk-for-aws-codeconnections,"1.12.770, 1.12.793",Apache License 2.0
aws-java-sdk-for-amazon-elastic-inference,"1.12.770, 1.11.892, 1.12.124, 1.12.793",Apache License 2.0
jackson-datatype-jsr310,"2.10.1, 2.18.2, 2.17.1, 2.11.4, 2.14.3, 2.12.1, 2.13.3",Apache License 2.0
aws-java-sdk-for-amazon-opensearch,"1.12.124, 1.12.770, 1.12.793",Apache License 2.0
aws-java-sdk-for-aws-iot-fleetwise,"1.12.793, 1.12.770",Apache License 2.0
slf4j-simple-binding,"1.7.5, 1.7.32",MIT License
apache-log4j,"2.17.1, 2.17.2",Apache License 2.0
aws-java-sdk-for-amazon-ses,"1.12.770, 1.11.892, 1.12.793, 1.12.124",Apache License 2.0
