Package,Version,License(s)
Werkzeug,2.0.2,"BSD 3-clause ""New"" or ""Revised"" License"
skuber,"2.6.2, 2.2.0",Apache License 2.0
google.golang.org-protobuf,"v1.27.1, v1.25.0, v1.22.0, v1.26.0-rc.1, 20200221-snapshot-4d8936d0, v1.21.0, v1.23.0, 20200227-snapshot-ab0ca4ff, 20200522-snapshot-81db48ad, 20200109-snapshot-ec00e32a, v1.24.0, 20200309-snapshot-e05f789c","BSD 3-clause ""New"" or ""Revised"" License"
openconfig-goyang,"20200115-snapshot-d0a48929, v0.2.3, v0.2.2, v0.2.9",Apache License 2.0
AWS Java SDK for Amazon Connect Participant,1.11.892,Apache License 2.0
asynckit,0.4.0,MIT License
asm-analysis,"7.2, 6.2.1, 5.0.3","BSD 3-clause ""New"" or ""Revised"" License"
@emotion-hash,0.8.0,MIT License
arch,"2.1.2, 2.2.0",MIT License
Handlebars.js,4.0.12,MIT License
parallel-transform,1.1.0,MIT License
kr-pretty,"0.1.0, 0.2.1",MIT License
kafka-connect-jms,0.3.0,Apache License 2.0
css-select-base-adapter,0.1.1,MIT License
has-flag,"3.0.0, 1.0.0, 4.0.0",MIT License
AWS Java SDK for AWS IoT Analytics,1.11.892,Apache License 2.0
TypeScript,"4.3.5, 4.3.4",Apache License 2.0
pureconfig-core,0.12.2,Mozilla Public License 2.0
@babel-plugin-transform-react-jsx-self,"7.16.0, 7.0.0",MIT License
ldapdomaindump,0.9.3,"Unknown License,MIT License"
eslint-plugin-import,"2.14.0, 0.3.2, 2.2.0",MIT License
kind-of,"3.2.2, 6.0.2, 5.1.0, 2.0.1, 6.0.3, 4.0.0",MIT License
eslint-scope,"4.0.0, v5.1.1, 3.7.1","BSD 2-clause ""Simplified"" License"
@types-parse5,5.0.3,MIT License
karma-runner karma,v6.3.4,MIT License
@babel-plugin-proposal-json-strings,"7.16.0, 7.14.5, 7.0.0",MIT License
DamonOehlman-wildcard,"v2.0.0, 1.1.2",MIT License
ms.js,"2.1.3, 2.0.0, 2.1.2, 2.1.1",MIT License
AWS Java SDK for AWS EC2 Instance Connect,1.11.892,Apache License 2.0
@storybook-core-client,"6.3.6, 6.3.12",MIT License
h2x-types,"1.1.1, v1.1.0, 1.2.0",MIT License
tabulate,0.7.5,MIT License
path-type,"4.0.0, 1.1.0, 3.0.0, 2.0.0",MIT License
Javassist,"3.12.1.GA, 3.21.0-GA","Apache License 2.0,(Mozilla Public License 1.1 OR GNU Lesser General Public License v2.1 or later OR Apache License 2.0)"
go-toml,v1.2.0,MIT License
SLF4J API Module,"1.7.31, 1.7.25, 1.7.5, 1.7.30, 1.7.26",MIT License
cacache,"12.0.4, 15.3.0, 10.0.4, 15.0.6, 15.2.0, 11.2.0",ISC License
