Package, Version, License(s)
libdbd-sqlite3-perl, 1.62-3, Artistic;GPL;GPL-1;GPL-1+;public-domain
libdbi-perl, 1.642-1+b1, Artistic;GPL;GPL-1;GPL-1+
libdbus-1-3, 1.12.16-1, AFL-2.1;BSD;BSD-3-clause;BSD-3-clause-generic;Expat;g10-permissive;GPL;GPL-2;GPL-2+;Tcl-BSDish
libdebconfclient0, 0.249, public domain
libdevmapper-event1.02.1, 2:1.02.155-3, BSD;BSD-2-Clause;GPL;GPL-2;GPL-2.0;GPL-2.0+;LGPL-2;LGPL-2.1;MIT
libdevmapper1.02.1, 2:1.02.155-3, BSD;BSD-2-Clause;GPL;GPL-2;GPL-2.0;GPL-2.0+;LGPL-2;LGPL-2.1;MIT
libdiscover2, 2.1.2-8, GPL
libdns-export1104, 1:9.11.5.P4+dfsg-5.1, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;ISC;MPL-2;MPL-2.0
libdns1104, 1:9.11.5.P4+dfsg-5.1, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;ISC;MPL-2;MPL-2.0
libdpkg-perl, 1.19.7, BSD;BSD-2-clause;GPL;GPL-2;GPL-2+;public domain;public-domain-md5;public-domain-s-s-d
libdw1, 0.176-1.1, GPL;GPL-2;GPL-3;LGPL-
libedit2, 3.1-20181209-1, BSD;BSD-3-clause
libefiboot1, 37-2, GPL;GPL-2;GPL-2.0+;LGPL-2;LGPL-2.0+
libefivar1, 37-2, GPL;GPL-2;GPL-2.0+;LGPL-2;LGPL-2.0+
libelf1, 0.176-1.1, GPL;GPL-2;GPL-3;LGPL-
liberror-perl, 0.17027-2, Artistic;GPL;GPL-1;GPL-1+;MIT;MIT/X11
libestr0, 0.1.10-2.1, LGPL-2
libevent-2.1-6, 2.1.8-stable-4, BSD
libexpat1, 2.2.6-2+deb10u1, MIT
libext2fs2, 1.44.5-1+deb10u3, BSD;GPL;GPL-2;LGPL-2;MIT
libfastjson4, 0.99.8-2, Apache-2;Apache-2.0;Expat
libfdisk1, 2.33.1-0.1, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;GPL;GPL-2;GPL-2+;GPL-3;GPL-3+;LGPL;LGPL-2;LGPL-2+;LGPL-2.1+;LGPL-3;LGPL-3+;MIT;public domain;public-domain
libffi6, 3.2.1-9, GPL
libfile-fnmatch-perl, 0.02-2+b6, Artistic;GPL;GPL-1;GPL-1+
libfontconfig1, 2.13.1-2, BSD-like
libfreeipmi17, 1.6.3-1.1, GPL;GPL-3;GPL-3+;LGPL-3;LGPL-3+
libfreetype6, 2.9.1-3+deb10u1, BSD;BSD-3-Clause;Catharon-OSL;FSFUL;FSFULLR;FTL;GPL;GPL-2;GPL-2+;GPL-3;GPL-3+;MIT;OpenGroup-BSD-like;Permissive;public domain;Public-Domain;zlib;Zlib
libfstrm0, 0.4.0-1, Apache-2;Apache-2.0;Gray-Watson
libfuse2, 2.9.9-1, GPL;GPL-2;GPL-2+;LGPL-2
libgc1c2, 1:7.6.4-0.4, MIT-like
